"iso3","name","period","value","source"
"AFG","AFGHANISTAN","2014",1,"rw"
"BDI","BURUNDI","2014",1,"rw"
"BEN","BENIN","2014",0,"rw"
"BFA","BURKINA FASO","2014",0,"rw"
"BGD","BANGLADESH","2014",0,"rw"
"BOL","BOLIVIA","2014",1,"rw"
"BWA","BOTSWANA","2014",0,"rw"
"CAF","CENTRAL AFRICAN REPUBLIC","2014",0,"rw"
"CIV","COTE D'IVOIRE","2014",0,"rw"
"CMR","CAMEROON","2014",0,"rw"
"COD","CONGO, THE DRC","2014",0,"rw"
"COG","CONGO","2014",0,"rw"
"COL","COLOMBIA","2014",1,"rw"
"DJI","DJIBOUTI","2014",0,"rw"
"DOM","DOMINICAN REPUBLIC","2014",0,"rw"
"DZA","ALGERIA","2014",0,"rw"
"EGY","EGYPT","2014",0,"rw"
"ERI","ERITREA","2014",0,"rw"
"ETH","Ethiopia","2014",0,"rw"
"GIN","GUINEA","2014",2,"rw"
"GMB","GAMBIA","2014",0,"rw"
"GNB","GUINEA-BISSAU","2014",0,"rw"
"GTM","GUATEMALA","2014",0,"rw"
"HND","HONDURAS","2014",0,"rw"
"HTI","HAITI","2014",0,"rw"
"IDN","INDONESIA","2014",2,"rw"
"IRQ","IRAQ","2014",0,"rw"
"JAM","JAMAICA","2014",0,"rw"
"JOR","JORDAN","2014",0,"rw"
"KEN","KENYA","2014",0,"rw"
"KGZ","KYRGYZSTAN","2014",0,"rw"
"KHM","CAMBODIA","2014",0,"rw"
"LAO","LAOS ","2014",0,"rw"
"LBN","LEBANON","2014",0,"rw"
"LBR","LIBERIA","2014",0,"rw"
"LBY","LIBYAN ARAB JAMAHIRIYA","2014",0,"rw"
"LKA","SRI LANKA","2014",0,"rw"
"LSO","LESOTHO","2014",0,"rw"
"MDG","MADAGASCAR","2014",1,"rw"
"MLI","MALI","2014",0,"rw"
"MMR","MYANMAR (Burma) ","2014",0,"rw"
"MNG","MONGOLIA","2014",0,"rw"
"MOZ","MOZAMBIQUE","2014",0,"rw"
"MRT","MAURITANIA","2014",0,"rw"
"MWI","MALAWI","2014",0,"rw"
"NAM","NAMIBIA","2014",1,"rw"
"NER","NIGER","2014",0,"rw"
"NGA","NIGERIA","2014",0,"rw"
"NPL","NEPAL","2014",0,"rw"
"PAK","PAKISTAN","2014",1,"rw"
"PHL","PHILIPPINES","2014",1,"rw"
"PRK","KOREA, D.P.R.O.","2014",0,"rw"
"RWA","RWANDA","2014",0,"rw"
"SDN","SUDAN","2014",0,"rw"
"SEN","SENEGAL","2014",0,"rw"
"SLE","SIERRA LEONE","2014",0,"rw"
"SOM","SOMALIA","2014",0,"rw"
"SSD","SOUTH SUDAN","2014",0,"rw"
"SWZ","SWAZILAND","2014",0,"rw"
"SYR","SYRIAN ARAB REPUBLIC","2014",0,"rw"
"TCD","CHAD","2014",0,"rw"
"THA","THAILAND","2014",0,"rw"
"TJK","TAJIKISTAN","2014",1,"rw"
"TUN","TUNISIA","2014",0,"rw"
"TUR","TURKEY","2014",0,"rw"
"TZA","TANZANIA, UNITED REPUBLIC OF","2014",2,"rw"
"UGA","UGANDA","2014",0,"rw"
"UZB","UZBEKISTAN","2014",0,"rw"
"VUT","VANUATU","2014",1,"rw"
"YEM","YEMEN","2014",0,"rw"
"ZAF","SOUTH AFRICA","2014",0,"rw"
"ZMB","ZAMBIA","2014",0,"rw"
"ZWE","ZIMBABWE","2014",1,"rw"
"AFG","AFGHANISTAN","2013",3,"rw"
"BDI","BURUNDI","2013",0,"rw"
"BEN","BENIN","2013",3,"rw"
"BFA","BURKINA FASO","2013",1,"rw"
"BGD","BANGLADESH","2013",2,"rw"
"BOL","BOLIVIA","2013",3,"rw"
"BWA","BOTSWANA","2013",1,"rw"
"CAF","CENTRAL AFRICAN REPUBLIC","2013",3,"rw"
"CIV","COTE D'IVOIRE","2013",0,"rw"
"CMR","CAMEROON","2013",2,"rw"
"COD","CONGO, THE DRC","2013",1,"rw"
"COG","CONGO","2013",1,"rw"
"COL","COLOMBIA","2013",3,"rw"
"DJI","DJIBOUTI","2013",0,"rw"
"DOM","DOMINICAN REPUBLIC","2013",0,"rw"
"DZA","ALGERIA","2013",0,"rw"
"EGY","EGYPT","2013",0,"rw"
"ERI","ERITREA","2013",0,"rw"
"ETH","Ethiopia","2013",2,"rw"
"GIN","GUINEA","2013",0,"rw"
"GMB","GAMBIA","2013",0,"rw"
"GNB","GUINEA-BISSAU","2013",0,"rw"
"GTM","GUATEMALA","2013",0,"rw"
"HND","HONDURAS","2013",1,"rw"
"HTI","HAITI","2013",1,"rw"
"IDN","INDONESIA","2013",3,"rw"
"IRQ","IRAQ","2013",0,"rw"
"JAM","JAMAICA","2013",0,"rw"
"JOR","JORDAN","2013",0,"rw"
"KEN","KENYA","2013",2,"rw"
"KGZ","KYRGYZSTAN","2013",0,"rw"
"KHM","CAMBODIA","2013",1,"rw"
"LAO","LAOS ","2013",2,"rw"
"LBN","LEBANON","2013",0,"rw"
"LBR","LIBERIA","2013",0,"rw"
"LBY","LIBYAN ARAB JAMAHIRIYA","2013",0,"rw"
"LKA","SRI LANKA","2013",0,"rw"
"LSO","LESOTHO","2013",0,"rw"
"MDG","MADAGASCAR","2013",2,"rw"
"MLI","MALI","2013",1,"rw"
"MMR","MYANMAR (Burma) ","2013",1,"rw"
"MNG","MONGOLIA","2013",0,"rw"
"MOZ","MOZAMBIQUE","2013",1,"rw"
"MRT","MAURITANIA","2013",1,"rw"
"MWI","MALAWI","2013",1,"rw"
"NAM","NAMIBIA","2013",2,"rw"
"NER","NIGER","2013",1,"rw"
"NGA","NIGERIA","2013",2,"rw"
"NPL","NEPAL","2013",0,"rw"
"PAK","PAKISTAN","2013",3,"rw"
"PHL","PHILIPPINES","2013",7,"rw"
"PRK","KOREA, D.P.R.O.","2013",1,"rw"
"RWA","RWANDA","2013",0,"rw"
"SDN","SUDAN","2013",2,"rw"
"SEN","SENEGAL","2013",0,"rw"
"SLE","SIERRA LEONE","2013",1,"rw"
"SOM","SOMALIA","2013",4,"rw"
"SSD","SOUTH SUDAN","2013",3,"rw"
"SWZ","SWAZILAND","2013",0,"rw"
"SYR","SYRIAN ARAB REPUBLIC","2013",1,"rw"
"TCD","CHAD","2013",0,"rw"
"THA","THAILAND","2013",1,"rw"
"TJK","TAJIKISTAN","2013",1,"rw"
"TUN","TUNISIA","2013",0,"rw"
"TUR","TURKEY","2013",0,"rw"
"TZA","TANZANIA, UNITED REPUBLIC OF","2013",0,"rw"
"UGA","UGANDA","2013",3,"rw"
"UZB","UZBEKISTAN","2013",0,"rw"
"VUT","VANUATU","2013",0,"rw"
"YEM","YEMEN","2013",1,"rw"
"ZAF","SOUTH AFRICA","2013",0,"rw"
"ZMB","ZAMBIA","2013",1,"rw"
"ZWE","ZIMBABWE","2013",1,"rw"
"AFG","AFGHANISTAN","2012",5,"rw"
"BDI","BURUNDI","2012",1,"rw"
"BEN","BENIN","2012",3,"rw"
"BFA","BURKINA FASO","2012",1,"rw"
"BGD","BANGLADESH","2012",2,"rw"
"BOL","BOLIVIA","2012",2,"rw"
"BWA","BOTSWANA","2012",0,"rw"
"CAF","CENTRAL AFRICAN REPUBLIC","2012",3,"rw"
"CIV","COTE D'IVOIRE","2012",0,"rw"
"CMR","CAMEROON","2012",2,"rw"
"COD","CONGO, THE DRC","2012",3,"rw"
"COG","CONGO","2012",2,"rw"
"COL","COLOMBIA","2012",2,"rw"
"DJI","DJIBOUTI","2012",0,"rw"
"DOM","DOMINICAN REPUBLIC","2012",1,"rw"
"DZA","ALGERIA","2012",0,"rw"
"EGY","EGYPT","2012",0,"rw"
"ERI","ERITREA","2012",0,"rw"
"ETH","Ethiopia","2012",1,"rw"
"GIN","GUINEA","2012",1,"rw"
"GMB","GAMBIA","2012",1,"rw"
"GNB","GUINEA-BISSAU","2012",0,"rw"
"GTM","GUATEMALA","2012",3,"rw"
"HND","HONDURAS","2012",1,"rw"
"HTI","HAITI","2012",3,"rw"
"IDN","INDONESIA","2012",3,"rw"
"IRQ","IRAQ","2012",0,"rw"
"JAM","JAMAICA","2012",0,"rw"
"JOR","JORDAN","2012",0,"rw"
"KEN","KENYA","2012",1,"rw"
"KGZ","KYRGYZSTAN","2012",2,"rw"
"KHM","CAMBODIA","2012",0,"rw"
"LAO","LAOS ","2012",0,"rw"
